,E_Equipment Serial Number,M_Module Serial Number,E_OEM Nameplate SN,M_Module OEM Nameplate SN,P_Site Customer Legacy Code,P_Site Customer Name,P_Plant Name,P_Site Country,P_Sales Region,E_Equipment Type,M_Module Type,E_Equipment Code,M_Module Code,E_Equipment Model,M_Module Model,E_Equipment Status,M_Module Status,E_Manufacturing Location,M_Module Manufacturing Location,E_Contract Type,M_Module Contract Type,P_Plant Account Manager Fullname,P_Plant Account Manager SSO or 4-3-1,P_Country Code 2Alpha,P_Cust Parent Commercial Entity Code,P_Cust Parent Commercial Entity Name,P_Cust Global Commercial Entity Name,P_Cust Global Commercial Entity Code,P_Site Operator Address Line 1,P_Site Operator Address Line 2,P_Site Operator City,P_Site Operator Country,P_Site Operator Country Iso Code,P_Site Operator Country Iso Name,P_Site Operator Postal Code,P_Site Operator State,P_Site Owner Country,P_Site Owner Country Iso Code,P_Site Owner Country Iso Name,P_Cust Parent HQ Adr Line 1,P_Cust Parent HQ Adr Line 2,P_Cust Parent HQ City,P_Cust Parent HQ Country,P_Cust Parent HQ Legacy Code,P_Cust Parent HQ Party Name,P_Cust Parent HQ State,P_Cust Parent HQ Zip Code,P_Cust Site Trade Style Name,P_GE Industry,P_Gps Coordinates Verified,P_Merged To Plant Sys Id,P_Network Name,P_Network Type,P_Site Operator Legacy Code,P_Site Operator Name,P_Site Owner Legacy Code,P_Site Owner Name,P_Plant Address Verified,P_Plant Latitude,P_Plant Longitude,P_Plant Record Status,P_Plant Status,P_Plant Sys Id,P_Sanctioned Country,P_Site Address Line 1,P_Site Address Line 2,P_Site City,P_Site Country ISO Name,P_Site Postal Code,P_Site State,P_Watchlist Flag,P_PLANT Parent Sys Id,B_Block Sys Id,B_Block Name,B_Block Status,B_Block Parent Sys Id,B_Block Record Status,B_Merged To Block Sys Id,B_Block Type,T_Compr Sour Service,T_Location,T_Merged To Train Sys Id,T_Train Commissioning Date,T_Train Name,T_Train Parent Sys Id,T_Train Record Status,T_Train Service Type,T_Train Status,T_Train Sys Id,E_Account Manager Fullname,E_Account Manager SSO or 4-3-1,E_Agreement ID,E_Agreement Name,E_Altitude,E_Anti Ice Sys,E_Combustion System,E_Compr Cylinder Lube,E_Compr Cylinder Valve,E_Compr Impeller/Cylinder Number,E_Compr Impeller Size,E_Compr Phase Num,E_Compr Pressure Class,E_Compr Process Gas,E_Compr Sealing,E_Control Curve Doc Code,E_Control Curve Type,E_Control OEM,E_Control System,E_Control Type,E_Cooling System,E_Contract Job Number,E_Contract End Date,E_Contract Start Date,E_Design Humidity,E_Driver/Driven Equipment,E_DS Exception,E_Design Ambient Temp,E_Duty Cycle,E_Environment,E_Equipment Class,E_Expected COD,E_Actual COD,E_Install Start Date,E_Equipment Latitude,E_Equipment Longitude,E_Equipment Name,E_Equipment Parent Sys Id,E_Equipment Record Status,E_Equipment Sys Id,E_Excitation System,E_Exciter Config,E_Exciter Model,E_Exciter OEM,E_Exciter Type,E_Expected Retirement Year,E_Extendor Kit Installed,E_Ibh Installed,E_Ibh System Inlet Exhaust,E_Igv,E_Inlet Filter,E_Inlet Pres Drop,E_Machine Mgt Sys,E_Main Warranty Active,E_Main Warranty End Date,E_Main Warranty Pm Fullname,E_Main Warranty PM SSO or  4-3-1,E_Main Warranty Project,E_Main Warranty Start Date,E_Manufacturer Group,E_Master Job,E_Max Ambient Temp,E_Merged To Equipment Sys Id,E_Min Ambient Temp,E_Equipment Job Number
556,G06220,,G06220,,CAT257377,BELAYIM PETROLEUM COMPANY,PORT FOUAD,EGYPT,MENAT,HD Gas Turbine,,PGT10/2,,PGT10/2,,InService,,"Florence, Italy",,CSA,,,,EG,CE0001437,ENI,ENI,CE0001437,"5, El Mokhaim El Daem Street",Beside Nasr City ClubPo Box 7074,CAIRO,EGYPT,EG,Egypt,,CAIRO,EGYPT,EG,Egypt,"5, El Mokhaim El Daem Street",Beside Nasr City ClubPo Box 7074,CAIRO,EGYPT,645069295,BELAYIM PETROLEUM COMPANY,CAIRO,,,,Y,,,,645069295,BELAYIM PETROLEUM COMPANY,645069295,BELAYIM PETROLEUM COMPANY,N,31.305853,32.155545,Active,InService,PLA00233650,N,ELGARABAA ROAD,,PORT SAID,Egypt,,,N,MPCCE0001437,,,,,,,,,,,1999-09-30,PORT FOUAD-GT-UNIT C,PLA00233650,Active,Simple Cycle,InService,UNI253313,"Corsaro, Massimo",105710947,AGR9,Petrobel,,N,Standard (Non DLN),,,,,,,,,SOM65961,,GE,Mark VI,Simplex,,"285X151,2858197,2854548,2858230,2854606,285X009",2023-07-29,2005-09-15,,Compressor,,,Peaker/Cyclic 500-1500 hrs/yr with daily starts,"Desertic (dry, hot, dust)",SMALL FRAMES,,1999-09-30,,31.305853,32.155545,PORT FOUAD-GT-UNIT C-GT,UNI253313,Active,SY0502616,,,,,,,,,,,PulseJet,,,N,,,,,,BAKER HUGHES,,,,,1604603
557,G08407,,G08407,,CAT550345,PTTEP SARAWAK OIL LIMITED,BORF,MALAYSIA,Asia Pacific,HD Gas Turbine,,52D,,MS5002D,,InService,,"Florence, Italy",,CSA,,,,MY,CE0001561,PTT GROUP,PTT GROUP,CE0001561,LEVEL 26 - 31 TOWER 2,PETRONAS TWIN TOWERS,KUALA LUMPUR,MALAYSIA,MY,Malaysia,50088,WILAYAH PERSEKUTUAN KUALA LUMPUR,MALAYSIA,MY,Malaysia,LEVEL 26 - 31 TOWER 2,PETRONAS TWIN TOWERS,KUALA LUMPUR,MALAYSIA,894192152,"MURPHY SARAWAK OIL CO., LTD.",WILAYAH PERSEKUTUAN KUALA LUMPUR,50088,,,Y,,,,894192152,"MURPHY SARAWAK OIL CO., LTD.",894192152,"MURPHY SARAWAK OIL CO., LTD.",Y,3.295862,113.094726,Active,InService,PLA00235003,N,"LEVEL 2628, 31 & 36, TOWER 2",PETRONAS TWIN TOWERSKUALA LUMPUR CITY CENTRE,KUALA LUMPUR,Malaysia,50088,WILAYAH PERSEKUTUAN KUALA LUMPUR,N,MPCCE0001561,,,,,,,,,,,2014-03-19,BORF-GT-GT-2420 A,PLA00235003,Active,Simple Cycle,InService,UNI257703,"Goh, Joo Hua",300004213,AGR302,PTTEP Borf,20.0,N,Standard (Non DLN),,,,,,,,,,,GE,Mark VIe,TMR,,"2854432,2854433,285X059,2854367,2854368,285X054,GHM0001,285X060,XM00005",2025-10-28,2015-10-29,100.0,Compressor,,36.0,Continuous - Greater than 6000 hrs/yr,"Tropical (damp, hot)",FR-5,,2014-03-19,,3.290269,113.087896,BORF-GT-GT-2420 A-GT,UNI257703,Active,SY0502558,,,,,,,,,,,Multistage 4 + HE,,,N,2014-07-26,"Nounou, Mohamed Adel",105038640.0,1820084.0,2014-04-06,BAKER HUGHES,1800084.0,36.0,,19.0,1800084
558,G06918,,G06918,,CAT777108,THE EGYPTIAN OPERATING COMPANY FOR NATURAL GAS LIQ,IDKU LNG,EGYPT,MENAT,HD Gas Turbine,,52D-PWC,,MS5002D-PWC,,InService,,"Florence, Italy",,CSA,,,,EG,CE0061621,THE EGYPTIAN OPERATING COMPANY FOR NATURAL GAS,SHELL,CE0001041,2 PORT SAID STREET,PO BOX 1117,CAIRO,EGYPT,EG,Egypt,,,EGYPT,EG,Egypt,2 PORT SAID STREET,PO BOX 1117,CAIRO,EGYPT,360305705,THE EGYPTIAN OPERATING COMPANY FOR NATURAL GAS LIQ,,,IDKU LNG,,Y,,,,360305705,THE EGYPTIAN OPERATING COMPANY FOR NATURAL GAS LIQ,360305705,THE EGYPTIAN OPERATING COMPANY FOR NATURAL GAS LIQ,Y,31.348194,30.322044,Active,InService,PLA00447021,N,ALEXANDRIA-IDKU COASTAL ROAD,IDKU,IDKU,Egypt,,BEHEIRA,N,MPCCE0001041,,,,,,,,,,,2005-07-11,IDKU LNG-GT-2GT1621,PLA00447021,Active,Simple Cycle,InService,UNI269863,"Corsaro, Massimo",105710947,AGR88,Egyptian LNG,,N,Lean Head End,,,,,,,,,SOM65961,,GE,Mark VI,TMR,,"2854186,285X116",2025-07-20,2005-07-20,,Compressor,,,Continuous - Greater than 6000 hrs/yr,Marine (salty),FR-5,,2005-07-11,,31.349167,30.319444,IDKU LNG-GT-2GT1621-GT,UNI269863,Active,SY0502515,,,,,,,,N,,,PulseJet,,SYSTEM 1,N,2006-07-17,"Baronti, Roberto",105027817.0,1625808.0,2005-10-20,BAKER HUGHES,,,,,1605808
559,890091,,G07071,,CAT785726,QATAR LIQUIFIED GAS COMPANY LTD II,QatarGas II,QATAR,MENAT,HD Gas Turbine,,91E,,PG9171E,,InService,,"Florence, Italy",,CSA,,,,QA,CE0050508,QATARGAS OPERATING (JV),QATARENERGY,CE0001059,Qatar Navigation Tower Qnt,"Umer Al Mukhtar Street, Al-Maysaloun RoadP.O. Box 3212",DOHA,QATAR,QA,Qatar,3212,DOHA,QATAR,QA,Qatar,P.O. Box 22666,P.O. Box 22666,RAS LAFFAN INDUSTRIAL CITY,QATAR,CAT075925,QATAR LIQUIFIED GAS COMPANY LTD II,,22666,QATARGAS II,,Y,,,,644929481,QATARENERGY,644929481,QATARENERGY,Y,25.910471,51.559334,Active,InService,PLA00447252,N,Qatargas Road,,RAS LAFFAN,,,KH,N,MPCCE0001059,,,,,,,,,,,2009-06-30,QATARGAS II-GT-24-KT0604,PLA00447252,Active,Simple Cycle,InService,UNI250587,"Ben Ahmad, Layan",212451389,AGR95,Qatargas LNG,,N,DRY LOW NOX 1,,,,,,,,,,,GE,Mark VI,TMR,,"285X019,285X047,285X048,2856404,2856403,2856409",2028-03-01,2005-02-01,70.0,Compressor,,43.0,Continuous - Greater than 6000 hrs/yr,"Desertic (dry, hot, dust)",FR-9,,2009-06-30,,25.9075,51.553056,QATARGAS II-GT-24-KT0604-GT,UNI250587,Active,SY0502442,,,,,,,N,Y,,,PulseJet,,SYSTEM 1,N,2008-05-19,"Orsoli, Leonardo",105707343.0,1629448.0,2006-05-19,BAKER HUGHES,1609447.0,,,,1609448
560,820662,,G08375,,CAT793087,QGC PTY LIMITED,QUEENSLAND CURTIS LNG,AUSTRALIA,Asia Pacific,AD Gas Turbine,,PGT25+G4,,HB-MGD,,InService,,"Florence, Italy",,CSA,,,,AU,CE0001041,SHELL,SHELL,CE0001041,L 30 275 GEORGE ST,,BRISBANE,AUSTRALIA,AU,Australia,4000,QUEENSLAND,AUSTRALIA,AU,Australia,L 30 275 GEORGE ST,GPO BOX 3107,BRISBANE,AUSTRALIA,757270442,QGC PTY LIMITED,QUEENSLAND,4000,QUEENSLAND CURTIS LNG,,Y,,,,759121291,BG INTERNATIONAL (AUS) PTY LIMITED,759121291,BG INTERNATIONAL (AUS) PTY LIMITED,N,-23.772837,151.1955,Active,InService,PLA00235031,N,6 BOOWAN COURT,,GLADSTONE,,4680,QUEENSLAND,N,MPCCE0001041,BLC331024,QUEENSLAND CURTIS LNG GTG,InService,PLA00235031,Active,,,,Onshore,,2015-03-22,QUEENSLAND CURTIS LNG-GT-1TG-3103,BLC331024,Active,Simple Cycle,InService,UNI254363,"Parascandola, Antonio (Antonio)",105053566,AGR282,QC LNG,75.0,N,DRY LOW EMISSIONS (DLE),,,,,,,,,,,GE,Mark VIe,Dual,,"2854338,285X007,285X044,GSWX003,GSW0020,2851042,GSW0029,2398924",2044-02-23,2020-08-25,100.0,Generator,,41.0,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2015-03-22,,-23.772837,151.1955,QUEENSLAND CURTIS LNG-GT-1TG-3103-GT,UNI254363,Active,SY0502428,,,,,,,,,,Variable,Multistage 2 - HE,,,N,2016-11-21,,,1726215.0,2015-05-21,BAKER HUGHES,1706213.0,41.0,,4.0,1706215
561,298591,,298591,,CAT178490,YEMEN LNG COMPANY LTD,BAL-HAF,YEMEN,MENAT,HD Gas Turbine,,71EA,,PG7121EA,,InService,,GE Greenville,,CSA,,,,YE,CE0001046,TOTALENERGIES,TOTALENERGIES,CE0001046,"OPPOSITE HADDA HOTEL, ADHBAN BUILDING HADDA AREA",,SANAA,YEMEN,YE,Yemen,,,YEMEN,YE,Yemen,"OPPOSITE HADDA HOTEL, ADHBAN BUILDING HADDA AREA",,SANAA,YEMEN,534570457,YEMEN LNG COMPANY LTD,,,,,N,,,,534570457,YEMEN LNG COMPANY LTD,534570457,YEMEN LNG COMPANY LTD,N,13.981111,48.180556,Active,InService,PLA00237235,N,BALHAF POWER STATION,PO BOX 15347,SANA'A,,,,N,MPCCE0001046,,,,,,,,,,,2009-10-12,BAL-HAF-GT-TRAIN A GT2,PLA00237235,Active,Cogeneration,InService,UNI257726,,,AGR133,Yemen LNG,,,DRY LOW NOX 1,,,,,,,,,SOM65961,,GE,Mark VI,TMR,,"2854301,2854320,2856228,285X049,YEMEN LNG On Shore",2032-05-31,2008-05-31,,Compressor,,,Continuous - Greater than 6000 hrs/yr,"Desertic (dry, hot, dust)",FR-7,,2009-10-12,,13.981111,48.180556,BAL-HAF-GT-TRAIN A GT2-GT,UNI257726,Active,SY0502415,,,,,,,,N,,,,,,N,2016-06-30,"Codini, Ferruccio",105702786.0,6843064.0,2014-12-31,GE,,,,,ML-7A1MEA298-3
562,822051,,G08780,,CAT135603,CHENIERE ENERGY INCORPORATED,CHENIERE SABINE PASS LNG,UNITED STATES,North America,AD Gas Turbine,,PGT25+G4,,HA-MGW,,InService,,"Florence, Italy",,CSA,,,,US,CE0015697,CHENIERE ENERGY,CHENIERE ENERGY,CE0015697,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,008601684,"CHENIERE ENERGY, INC.",TX,77002-2835,CHENIERE SABINE PASS LNG,Natural gas,Y,,,,008601684,"CHENIERE ENERGY, INC.",008601684,"CHENIERE ENERGY, INC.",Y,29.74891,-93.86741,Active,InService,PLA00237040,N,9243 GULF BEACH HWY,,CAMERON,United States of America,70631-0000,LA,N,MPCCE0015697,BLC330511,CHENIERE SABINE PASS LNG TR3,InService,PLA00237040,Active,,,,Onshore,,2017-03-28,CHENIERE SABINE PASS LNG TR3 ME1 - 23TC-1611,BLC330511,Active,Methane Refrigerant (LNG),InService,UNI261080,"Rigaglia, Pierangelo",105046212,AGR334,Cheniere Sabine Pass,,Y,Singular Annular Combustor (SAC),,,,,,,,,,,GE,Mark VIe,Dual,,"239X002,2854400,2854401,285X029,239X007,2854458,2854501,2854459,2392373,2392374,2392388,2392389,2392270",2039-12-17,2015-01-01,100.0,Compressor,,42.0,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2017-03-28,,29.74891,-93.8674,CHENIERE SABINE PASS LNG TR3 ME1 - 23TC-1611/GT,UNI261080,Active,SY0502380,,,,,,,,,,Variable,Multistage 4 + HE,,,N,2018-09-27,,,1629179.0,2017-03-28,BAKER HUGHES,,42.0,,-5.0,1609179
563,821818,,G08497,,CAT135603,CHENIERE ENERGY INCORPORATED,CHENIERE SABINE PASS LNG,UNITED STATES,North America,AD Gas Turbine,,PGT25+G4,,HA-MD,,InService,,"Florence, Italy",,CSA,,,,US,CE0015697,CHENIERE ENERGY,CHENIERE ENERGY,CE0015697,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,US,United States of America,77002-2835,TX,UNITED STATES,US,United States of America,700 MILAM ST STE 800,,HOUSTON,UNITED STATES,008601684,"CHENIERE ENERGY, INC.",TX,77002-2835,CHENIERE SABINE PASS LNG,Natural gas,Y,,,,008601684,"CHENIERE ENERGY, INC.",008601684,"CHENIERE ENERGY, INC.",Y,29.74891,-93.86741,Active,InService,PLA00237040,N,9243 GULF BEACH HWY,,CAMERON,United States of America,70631-0000,LA,N,MPCCE0015697,BLC330510,CHENIERE SABINE PASS LNG TR2,InService,PLA00237040,Active,,,,Onshore,,2016-09-16,CHENIERE SABINE PASS LNG TR2 ME2 - 12TC-1621,BLC330510,Active,Methane Refrigerant (LNG),InService,UNI261145,"Rigaglia, Pierangelo",105046212,AGR334,Cheniere Sabine Pass,,Y,Singular Annular Combustor (SAC),,,,,,,,,,,GE,Mark VIe,Dual,,"239X002,2854400,2854401,285X029,239X007,2854458,2854501,2854459,2392373,2392374,2392388,2392389,2392270",2039-12-17,2015-01-01,100.0,Compressor,,42.0,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2016-09-16,,29.74891,-93.8674,CHENIERE SABINE PASS LNG TR2 ME2 - 12TC-1621/GT,UNI261145,Active,SY0502364,,,,,,,,,,Variable,Multistage 4 + HE,,,N,2018-03-14,"Danial, Cristina G",209005150.0,1629129.0,2016-09-15,BAKER HUGHES,,42.0,,-5.0,1609129
564,G08531,,G08531,,CAT785742,PETRONAS CHEMICALS FERTILISER SABAH SDN BHD,SAMUR,MALAYSIA,Asia Pacific,HD Gas Turbine,,51PA,,MS5001PA,,InService,,"Florence, Italy",,CSA,,,,MY,CE0001550,PETRONAS,PETRONAS,CE0001550,ARAS 3 BLOCK B8 BAHAGIAN INNOVASI & PENGURUSAN SUMBER MANUSIA,KOMPLEKS JABATAN PERDANA MENTERI,PUTRAJAYA,MALAYSIA,MY,Malaysia,62502,WILAYAH PERSEKUTUAN PUTRAJAYA,MALAYSIA,MY,Malaysia,TOWER 1 PETRONAS TWIN TOWERS,KUALA LUMPUR CITY CENTRE,KUALA LUMPUR,MALAYSIA,894217959,PETRONAS CHEMICALS GROUP BERHAD,WILAYAH PERSEKUTUAN KUALA LUMPUR,50088,SAMUR,,Y,,,,659351720,GOVERNMENT OF MALAYSIA,659351720,GOVERNMENT OF MALAYSIA,Y,5.010469,115.504287,Active,InService,PLA00447229,N,"0000406188,JLN SOGIP 4",,SIPITANG,,89850,12,N,MPCCE0001550,,,,,,,,,,,2016-05-26,SAMUR-GT-5,PLA00447229,Active,Simple Cycle,InService,UNI275705,"Gupta, Rajesh",300004761,AGR471,Samur (PCFSSB Sabah),3.0,N,Standard (Non DLN),,,,,,,,,,,GE,Mark VIe,TMR,,"2854483,2854484,285X157,2854485,2854486,GHM0012,XM00001",2033-03-19,2016-08-01,90.0,Generator,,36.0,Continuous - Greater than 6000 hrs/yr,"Tropical (damp, hot)",FR-5,,2016-05-26,,5.031129,115.528933,SAMUR-GT-5-GT,UNI275705,Active,SY0502300,,,,,,,N,,,,Multistage 3 - HE,,,,,,,,,BAKER HUGHES,1705742.0,36.0,,18.0,1705743
565,822372,,7258224,,CAT814199,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,MV29 - CIDADE DE CAMPOS DOS GOYTACAZES,BRAZIL,Latin America,AD Gas Turbine,,LM25C+G4,,RC-MD,,InService,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,CE0001245,MITSUI ENGINEERING AND SHIPBUILDING,MITSUI ENGINEERING AND SHIPBUILDING,CE0001245,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,BR,Brazil,27933-420,RJ,BRAZIL,BR,Brazil,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,RJ,27933-420,,,Y,,,,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,Y,-25.077,-43.0262,Active,InService,PLA00243189,N,Tartaruga Verde And Tartaruga Mestia Fields In The Campos Basin,125 Km From Maca,TERRITORIAL WATERS,,00000-000,RJ,N,MPCCE0001245,,,,,,,,,Offshore - FPSO,,2016-11-23,MV29 - CIDADE DE CAMPOS DOS GOYTACAZES-GT-MV29-GTC,PLA00243189,Active,Cogeneration,InService,UNI275177,"Oliveira Filho, Jorge",210030578,AGR440,Modec,,,Singular Annular Combustor (SAC),,,,,,,,,,,oOEM,Woodward Micronet+,,,"2392148,239X025,2854490,2854491,ON SHORE,EW MODEC Onshore,285X165",2038-06-30,2016-07-01,,Generator,,,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2016-11-23,,-23.043,-40.7652,MV29 - CIDADE DE CAMPOS DOS GOYTACAZES-GT-MV29-GTC-GT,UNI275177,Active,SY0502173,,,,,,,,,,Variable,,,,N,2019-12-31,,,1423232.0,2015-12-31,GE,,,,,
566,821796,,7246645,,CAT828248,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,MV26 - CIDADE DE ITAGUAI,BRAZIL,Latin America,AD Gas Turbine,,LM25C+G4,,RC-MD,,InService,,GE Aero Energy Products,,CSA,,"Oliveira Filho, Jorge",210030578.0,BR,CE0001245,MITSUI ENGINEERING AND SHIPBUILDING,MITSUI ENGINEERING AND SHIPBUILDING,CE0001245,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,BR,Brazil,27933-420,RJ,BRAZIL,BR,Brazil,Rua Lady Esteves Da Conceicao,770Novo CavaleirosLote 21 Quadra Y,MACAE,BRAZIL,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,RJ,27933-420,MV26 - CIDADE DE ITAGUAI,,N,,,,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,908751365,MODEC SERVIÇOS DE PETRÓLEO DO BRASIL LTDA.,Y,-25.13997,-42.944271,Active,InService,PLA00235050,N,"Iracema Norte Area Of Lula Field, In The Pre-Salt Layer Of Santos Basin",,TERRITORIAL WATERS,,00000-000,SP,N,MPCCE0001245,,,,,,,,,Offshore - FPSO,,2015-12-15,MV26 - CIDADE DE ITAGUAI-GT-GTB,PLA00235050,Active,Cogeneration,InService,UNI258587,"Oliveira Filho, Jorge",210030578,AGR440,Modec,,,Singular Annular Combustor (SAC),,,,,,,,,,,oOEM,Woodward Micronet+,,,"2392148,239X025,2854490,2854491,ON SHORE,EW MODEC Onshore,285X165",2038-06-30,2016-07-01,,Generator,,,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2015-12-15,,-25.13997,-42.944271,MV26 - CIDADE DE ITAGUAI-GT-GTB-GT,UNI258587,Active,SY0502100,,,,,,,,,,Variable,,,,,,,,,,GE,,,,,
567,821191,,G08256,,CAT793087,QGC PTY LIMITED,QUEENSLAND CURTIS LNG,AUSTRALIA,Asia Pacific,AD Gas Turbine,,PGT25+G4,,HB-MGD,,InService,,"Florence, Italy",,CSA,,,,AU,CE0001041,SHELL,SHELL,CE0001041,L 30 275 GEORGE ST,,BRISBANE,AUSTRALIA,AU,Australia,4000,QUEENSLAND,AUSTRALIA,AU,Australia,L 30 275 GEORGE ST,GPO BOX 3107,BRISBANE,AUSTRALIA,757270442,QGC PTY LIMITED,QUEENSLAND,4000,QUEENSLAND CURTIS LNG,,Y,,,,759121291,BG INTERNATIONAL (AUS) PTY LIMITED,759121291,BG INTERNATIONAL (AUS) PTY LIMITED,N,-23.772837,151.1955,Active,InService,PLA00235031,N,6 BOOWAN COURT,,GLADSTONE,,4680,QUEENSLAND,N,MPCCE0001041,BLC331023,QUEENSLAND CURTIS LNG BLC 2,InService,PLA00235031,Active,,,,Onshore,,2015-07-22,QUEENSLAND CURTIS LNG-GT-2TC-1511,BLC331023,Active,Simple Cycle,InService,UNI254501,"Parascandola, Antonio (Antonio)",105053566,AGR282,QC LNG,75.0,,DRY LOW EMISSIONS (DLE),,,,,,,,,,,GE,Mark VIe,Dual,,"2854338,285X007,285X044,GSWX003,GSW0020,2851042,GSW0029,2398924",2044-02-23,2020-08-25,100.0,Compressor,,41.0,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2015-07-22,,-23.772837,151.1955,QUEENSLAND CURTIS LNG-GT-2TC-1511-GT,UNI254501,Active,SY0502098,,,,,,,,,,Variable,,,,N,2017-05-25,,,1629049.0,2015-11-25,BAKER HUGHES,1609041.0,41.0,,4.0,1609049
568,821983,,G08706,,CAT055899,MARATHON PETROLEUM COMPANY,ALBA FIELD,EQUATORIAL GUINEA,Sub-Saharan Africa,AD Gas Turbine,,PGT25+G4,,HA-MG,,InService,,"Florence, Italy",,CSA,,,,GQ,CE0001756,MARATHON PETROLEUM,MARATHON PETROLEUM,CE0001756,539 S MAIN ST,,FINDLAY,UNITED STATES,US,United States of America,45840-3229,OH,UNITED STATES,US,United States of America,539 S MAIN ST,,FINDLAY,UNITED STATES,968393996,MARATHON PETROLEUM CORPORATION,OH,45840-3229,,,N,,,,968393996,MARATHON PETROLEUM CORPORATION,968393996,MARATHON PETROLEUM CORPORATION,Y,3.781944,8.713611,Active,InService,PLA00233776,N,WEST AFRICA BP 742,PUNTA EUROPA,MALABO,,,,N,MPCCE0001756,,,,,,,,,Offshore - Platform,,2016-08-03,ALBA FIELD-GT-B3 COMPRESSOR 2,PLA00233776,Active,Simple Cycle,InService,UNI269127,"Bartoli, Michele",105711834,AGR448,MEGPL Alba B3,0.0,N,Singular Annular Combustor (SAC),,,,,,,,,,,GE,Mark VIe,Dual,,"2854436,285X028,285X112,285X112 ONSHORE,2854436 ONSHORE,2398207,OGT445,2858226,179110",2028-09-15,2016-09-17,100.0,Compressor,,35.0,Continuous - Greater than 6000 hrs/yr,Marine (salty),LM2500+G4,,2016-08-03,,3.488788,8.61377,ALBA FIELD-GT-B3 COMPRESSOR 2-GT,UNI269127,Active,SY0502062,,,,,,,,,,Variable,Multistage 2 - HE,,,N,2018-12-31,"Calvelli, Alessandra",105049696.0,1629164.0,2016-08-03,BAKER HUGHES,1609163.0,35.0,,19.0,1609164
569,G06623,,G06623,,CAT815319,ENI TUNISIA B.V.,OUED Zar,TUNISIA,MENAT,HD Gas Turbine,,GE10/1,,GE10/1,,InService,,"Florence, Italy",,CSA,,,,TN,CE0001437,ENI,ENI,CE0001437,RUE DU LAC DE COME,LES BERGES DU LAC,TUNIS,TUNISIA,TN,Tunisia,1053,,TUNISIA,TN,Tunisia,RUE TANGANYCA,B.P. 473,TUNIS,TUNISIA,CAT057601,ENI TUNISIA B.V.,,,OUED ZAR,,Y,,,,CAT280602,ENI TUNISIA BV SUCCURSALE DE TUNISIE,CAT280602,ENI TUNISIA BV SUCCURSALE DE TUNISIE,Y,31.393849,10.021431,Active,InService,PLA00236664,N,OUED ZAR OIL FIELD,,BIR ZAR,,0000,TATAOUINE,N,MPCCE0001437,,,,,,,,,,,2008-11-22,OUED ZAR-GT-TG2,PLA00236664,Active,Simple Cycle,InService,UNI259511,"Alfughi, Emad",105064451,AGR616,Eni Tunisia GE10,,N,Standard (Non DLN),,,,,,,,,SOM6618186/4,,GE,FANUC Rx3i,,,"2854568,2854569",2023-12-31,2019-01-01,,Generator,,,,"Desertic (dry, hot, dust)",SMALL FRAMES,,2008-11-22,,31.394967,10.023994,OUED ZAR-GT-TG2-GT,UNI259511,Active,SY0502041,,,,,,,,,,,,,SYSTEM 1,N,2010-04-17,"Dimarco, Salvatore",105703708.0,1724721.0,2008-11-22,BAKER HUGHES,,,,,1704721
